Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-15,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-17,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-01-31,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-14,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-15,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-02-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-14,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-03-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-15,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-04-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-14,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-15,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-17,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-05-31,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-14,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-07-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,
2024-06-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-06-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-15,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-07-31,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-14,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-21,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-22,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-28,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-29,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-08-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-02,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-05,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-06,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-09,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-10,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-11,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-12,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-13,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-16,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-17,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-18,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-19,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-20,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-23,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-24,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-25,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-26,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-27,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-09-30,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-10-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-10-03,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-10-04,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-10-07,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
2024-10-08,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,0,0.0,0.0,0.0
